participant_id,study
CH7202b,SCHIZCONNECT-VIP
NM1029,SCHIZCONNECT-VIP
ce110502,SCHIZCONNECT-VIP
NM2091,SCHIZCONNECT-VIP
gb130351,SCHIZCONNECT-VIP
ESOC10030,PRAGUE
lb100540,SCHIZCONNECT-VIP
NM2079,SCHIZCONNECT-VIP
CH7562b,SCHIZCONNECT-VIP
A00000838,SCHIZCONNECT-VIP
CC9301,SCHIZCONNECT-VIP
CC7959,SCHIZCONNECT-VIP
A00023246,SCHIZCONNECT-VIP
ESOP00011,PRAGUE
ESOP00055,PRAGUE
CC2985,SCHIZCONNECT-VIP
CC5529,SCHIZCONNECT-VIP
A00014225,SCHIZCONNECT-VIP
ESOP00057,PRAGUE
NM1074,SCHIZCONNECT-VIP
A00020895,SCHIZCONNECT-VIP
NM8356,SCHIZCONNECT-VIP
NM6450,SCHIZCONNECT-VIP
A00038624,SCHIZCONNECT-VIP
CC4513,SCHIZCONNECT-VIP
NM1050,SCHIZCONNECT-VIP
CC6606,SCHIZCONNECT-VIP
CH7724b,SCHIZCONNECT-VIP
CC6687,SCHIZCONNECT-VIP
A00001251,SCHIZCONNECT-VIP
NM1082,SCHIZCONNECT-VIP
sc120079,SCHIZCONNECT-VIP
A00021145,SCHIZCONNECT-VIP
A00002405,SCHIZCONNECT-VIP
sl130123,SCHIZCONNECT-VIP
CH7614b,SCHIZCONNECT-VIP
ESOC10052,PRAGUE
A00015201,SCHIZCONNECT-VIP
ESOP00023,PRAGUE
ESOC10112,PRAGUE
NM2076,SCHIZCONNECT-VIP
CH8665b,SCHIZCONNECT-VIP
A00024198,SCHIZCONNECT-VIP
cc110116,SCHIZCONNECT-VIP
CC0683,SCHIZCONNECT-VIP
CC2191,SCHIZCONNECT-VIP
A00014590,SCHIZCONNECT-VIP
CC0197,SCHIZCONNECT-VIP
ESOC10114,PRAGUE
fg110188,SCHIZCONNECT-VIP
mi100054,SCHIZCONNECT-VIP
ESOC10101,PRAGUE
ESOC10025,PRAGUE
CH8043b,SCHIZCONNECT-VIP
CC6968,SCHIZCONNECT-VIP
ESOC10121,PRAGUE
ESOC10055,PRAGUE
CH8284b,SCHIZCONNECT-VIP
CC7648,SCHIZCONNECT-VIP
CH7869b,SCHIZCONNECT-VIP
ESOC10068,PRAGUE
CH7539a,SCHIZCONNECT-VIP
NM5920,SCHIZCONNECT-VIP
NM9055,SCHIZCONNECT-VIP
A00020968,SCHIZCONNECT-VIP
NM8228,SCHIZCONNECT-VIP
NM8247,SCHIZCONNECT-VIP
NM2052,SCHIZCONNECT-VIP
CH8461a,SCHIZCONNECT-VIP
CC7563,SCHIZCONNECT-VIP
A00024684,SCHIZCONNECT-VIP
A00006754,SCHIZCONNECT-VIP
ESOC10020,PRAGUE
ESOP00038,PRAGUE
ESOC10122,PRAGUE
A00024160,SCHIZCONNECT-VIP
A00037007,SCHIZCONNECT-VIP
ESOC10076,PRAGUE
A00023750,SCHIZCONNECT-VIP
CH8266b,SCHIZCONNECT-VIP
CC9878,SCHIZCONNECT-VIP
jj120270,SCHIZCONNECT-VIP
CC0857,SCHIZCONNECT-VIP
NM4869,SCHIZCONNECT-VIP
NM1005,SCHIZCONNECT-VIP
NM7298,SCHIZCONNECT-VIP
sp110461,SCHIZCONNECT-VIP
CC1960,SCHIZCONNECT-VIP
CC3125,SCHIZCONNECT-VIP
ESOC10105,PRAGUE
A00022490,SCHIZCONNECT-VIP
A00017147,SCHIZCONNECT-VIP
ESOC10066,PRAGUE
ip100526,SCHIZCONNECT-VIP
ESOP00061,PRAGUE
ESOC10049,PRAGUE
ag110315,SCHIZCONNECT-VIP
ESOP00076,PRAGUE
CC3958,SCHIZCONNECT-VIP
or130001,SCHIZCONNECT-VIP
CC7234,SCHIZCONNECT-VIP
CC7016,SCHIZCONNECT-VIP
A00024446,SCHIZCONNECT-VIP
ESOP00028,PRAGUE
A00023158,SCHIZCONNECT-VIP
CC6287,SCHIZCONNECT-VIP
A00014607,SCHIZCONNECT-VIP
sc110197,SCHIZCONNECT-VIP
ESOC10099,PRAGUE
A00023730,SCHIZCONNECT-VIP
CC7493,SCHIZCONNECT-VIP
ESOP00058,PRAGUE
ESOC10093,PRAGUE
NM1088,SCHIZCONNECT-VIP
ph120201,SCHIZCONNECT-VIP
CC1709,SCHIZCONNECT-VIP
A00031597,SCHIZCONNECT-VIP
ct100180,SCHIZCONNECT-VIP
A00019888,SCHIZCONNECT-VIP
ESOC10097,PRAGUE
ib130013,SCHIZCONNECT-VIP
NM2088,SCHIZCONNECT-VIP
CC9492,SCHIZCONNECT-VIP
CH7172a,SCHIZCONNECT-VIP
ESOP00078,PRAGUE
ye110322,SCHIZCONNECT-VIP
CC5892,SCHIZCONNECT-VIP
NM1086,SCHIZCONNECT-VIP
NM1087,SCHIZCONNECT-VIP
CC6476,SCHIZCONNECT-VIP
NM7655,SCHIZCONNECT-VIP
A00001181,SCHIZCONNECT-VIP
A00014839,SCHIZCONNECT-VIP
A00037318,SCHIZCONNECT-VIP
kb120176,SCHIZCONNECT-VIP
A00037619,SCHIZCONNECT-VIP
A00023848,SCHIZCONNECT-VIP
rc100441,SCHIZCONNECT-VIP
ESOC10051,PRAGUE
CH8930a,SCHIZCONNECT-VIP
CC9555,SCHIZCONNECT-VIP
hb140282,SCHIZCONNECT-VIP
ESOC10083,PRAGUE
A00026907,SCHIZCONNECT-VIP
NM2014,SCHIZCONNECT-VIP
NM7595,SCHIZCONNECT-VIP
ESOC10033,PRAGUE
NM9107,SCHIZCONNECT-VIP
CH8033a,SCHIZCONNECT-VIP
A00029486,SCHIZCONNECT-VIP
ESOC10085,PRAGUE
A00018403,SCHIZCONNECT-VIP
ESOC10108,PRAGUE
NM2029,SCHIZCONNECT-VIP
CC7583,SCHIZCONNECT-VIP
CC7436,SCHIZCONNECT-VIP
CH7718b,SCHIZCONNECT-VIP
CH7692a,SCHIZCONNECT-VIP
ESOP00034,PRAGUE
CH3183,SCHIZCONNECT-VIP
ESOC10021,PRAGUE
ESOP00075,PRAGUE
CC6182,SCHIZCONNECT-VIP
lb100374,SCHIZCONNECT-VIP
CC7774,SCHIZCONNECT-VIP
A00024228,SCHIZCONNECT-VIP
A00037034,SCHIZCONNECT-VIP
NM2057,SCHIZCONNECT-VIP
CC3493,SCHIZCONNECT-VIP
ESOP00033,PRAGUE
yp120253,SCHIZCONNECT-VIP
NM2001,SCHIZCONNECT-VIP
CH7668a,SCHIZCONNECT-VIP
NM1081,SCHIZCONNECT-VIP
NM1015,SCHIZCONNECT-VIP
A00028409,SCHIZCONNECT-VIP
ja110213,SCHIZCONNECT-VIP
NM2063,SCHIZCONNECT-VIP
pn110404,SCHIZCONNECT-VIP
ESOP00025,PRAGUE
ESOC10047,PRAGUE
CH8860b,SCHIZCONNECT-VIP
ESOC10095,PRAGUE
A00024820,SCHIZCONNECT-VIP
CH8001a,SCHIZCONNECT-VIP
NM2107,SCHIZCONNECT-VIP
ESOC10032,PRAGUE
A00020414,SCHIZCONNECT-VIP
NM2064,SCHIZCONNECT-VIP
ESOP00069,PRAGUE
A00035003,SCHIZCONNECT-VIP
CH8914b,SCHIZCONNECT-VIP
gg120175,SCHIZCONNECT-VIP
pb090397,SCHIZCONNECT-VIP
A00000456,SCHIZCONNECT-VIP
ESOC10092,PRAGUE
CC9628,SCHIZCONNECT-VIP
CC5041,SCHIZCONNECT-VIP
A00013816,SCHIZCONNECT-VIP
