region,threshold,AUC,p_value,null95
SFinter-SFsup_left,32,0.818576388888889,0.0,0.7233854166666667
SFinter-SFsup_left,37,0.7169972831143696,0.0,0.6786296475492202
SFinter-SFsup_right,28,0.8962194217939214,0.0,0.8332097850259451
SFinter-SFsup_right,32,0.8210069444444444,0.0,0.7212355324074075
SFinter-SFsup_right,37,0.7771409430942722,0.0,0.6683166474375672
SFmarginal-SFinfant_left,28,0.9009636767976279,0.0,0.820177909562639
SFmarginal-SFinfant_left,32,0.8730324074074075,0.0,0.7100520833333334
SFmarginal-SFinfant_left,37,0.7759499795303136,0.0,0.6688097807882688
SFmarginal-SFinfant_right,28,0.9467753891771683,0.0,0.8171089696071163
SFmarginal-SFinfant_right,32,0.8790509259259259,0.0,0.7078038194444445
SFmarginal-SFinfant_right,37,0.8009229967620677,0.0,0.6587107819420149
SFmedian-SFpoltr-SFsup_left,28,0.9214232765011119,0.0,0.8370793180133432
SFmedian-SFpoltr-SFsup_left,32,0.8368055555555556,0.0,0.7118663194444446
SFmedian-SFpoltr-SFsup_left,37,0.7446499683650304,0.0,0.6726292381554952
SFmedian-SFpoltr-SFsup_right,28,0.8969607116382505,0.0,0.8307042253521126
SFmedian-SFpoltr-SFsup_right,32,0.7973379629629629,0.0,0.7118315972222222
SFmedian-SFpoltr-SFsup_right,37,0.7080650563846813,0.0,0.6690126167702557
SOr-SOlf_left,28,0.879614529280949,0.005,0.817353595255745
SOr-SOlf_left,32,0.8531250000000001,0.0,0.7009288194444443
SOr-SOlf_left,37,0.7944471323830437,0.0,0.661907774759016
SOr-SOlf_right,28,0.8587101556708673,0.005,0.8176575240919198
SOr-SOlf_right,32,0.8189814814814814,0.0,0.7048206018518518
SOr-SOlf_right,37,0.7845844653690126,0.0,0.658243700919275
SOr_left,28,0.8665678280207562,0.0,0.8125277983691623
SOr_left,32,0.852199074074074,0.0,0.7029542824074073
SOr_left,37,0.7851055119282444,0.0,0.6538669098217276
SOr_right,28,0.8907338769458859,0.0,0.8174870274277242
SOr_right,32,0.8145833333333334,0.0,0.6954716435185185
SOr_right,37,0.7839145483642859,0.0,0.6533737764710261
SPeC_left,28,0.8822831727205338,0.005,0.8239065974796145
SPeC_left,32,0.803125,0.0,0.7049739583333333
SPeC_left,37,0.7236592355502625,0.0,0.6669730916669768
SPeC_right,28,0.8465530022238695,0.005,0.8210971089696071
SPeC_right,32,0.7501157407407407,0.0,0.7004166666666667
SPeC_right,37,0.7225427072090512,0.0,0.6657560757750568
SPoC_left,28,0.935063009636768,0.0,0.8242031134173461
SPoC_left,32,0.8743055555555556,0.0,0.6963859953703703
SPoC_left,37,0.7460642375972311,0.0,0.6527373553165359
SPoC_right,28,0.8988880652335063,0.0,0.8216753150481838
SPoC_right,32,0.8226273148148148,0.0,0.7049247685185186
SPoC_right,37,0.7430123934645875,0.0,0.6607298373590382
STi-SOTlat_left,28,0.9353595255744996,0.0,0.8363454410674575
STi-SOTlat_left,32,0.9041666666666667,0.0,0.7082436342592593
STi-SOTlat_left,37,0.8368007741263166,0.0,0.6652815512300422
STi-SOTlat_right,28,0.9243884358784284,0.0,0.8341808747220163
STi-SOTlat_right,32,0.9090856481481481,0.0,0.7074971064814815
STi-SOTlat_right,37,0.8337117123822992,0.0,0.6684636570024935
STi-STs-STpol_left,28,0.9138621200889547,0.0,0.8163157894736841
STi-STs-STpol_left,32,0.886574074074074,0.0,0.703738425925926
STi-STs-STpol_left,37,0.8146935129703374,0.0,0.666511593285943
STi-STs-STpol_right,28,0.9307635285396589,0.0,0.8178057820607858
STi-STs-STpol_right,32,0.8993055555555556,0.0,0.6976996527777777
STi-STs-STpol_right,37,0.8413785403252819,0.0,0.6562730283970375
STs_left,28,0.8889547813194959,0.0,0.8200518902891029
STs_left,32,0.8407407407407408,0.0,0.6989091435185185
STs_left,37,0.7578250027913208,0.0,0.657244408053891
STs_right,28,0.9150481838398814,0.0,0.8194514455151964
STs_right,32,0.8662615740740741,0.0,0.7032291666666667
STs_right,37,0.8192340615579292,0.0,0.6576556626595705
STsbr_left,28,0.9003706449221646,0.0,0.8092216456634543
STsbr_left,32,0.8336805555555555,0.0,0.7077806712962962
STsbr_left,37,0.7553314228292828,0.0,0.6602832260225538
STsbr_right,28,0.9263157894736841,0.0,0.8395848776871756
STsbr_right,32,0.8099537037037038,0.0,0.726802662037037
STsbr_right,37,0.7468830250474525,0.0,0.6788883099482674
ScCal-SLi_left,28,0.8842105263157894,0.0,0.7812008895478131
